qid	answer	tigan	o1	p1	o2	p2	o3	p3	tail
29	1	若駕駛人拒絕接受酒精濃度測試檢定，依現行法規應處以：	(1)	新臺幣18萬元罰鍰，且當場移置保管該車及吊銷駕照。	(2)	新臺幣6萬元罰鍰及吊扣汽車牌照6個月。	(3)	新臺幣9萬 元罰鍰，並記違規點數3點。	
30	3	酒駕防制教育訓練課程內容含括道路交通法令、肇事預防處理及法律責任等，總時數共：	(1)	10小時。	(2)	12小時。	(3)	15小時。	
31	1	汽車駕駛人申請參加酒駕防制教育訓練之費用由誰負擔？	(1)	汽車駕駛人。	(2)	衛生福利部。	(3)	訓練辦理機關。	
32	1	駕駛他人車輛酒駕違規是否須受吊扣牌照處分？	(1)	仍須吊扣牌照。	(2)	只要不是自己的車就不用吊扣。	(3)	無特別規定。	
33	2	汽車駕駛人於幾年內第2次違反「酒精濃度超過規定標準」規定，依其駕駛車輛所定罰鍰最高額處罰之？	(1)	5年。	(2)	10年。	(3)	15年。	
34	3	汽車所有人明知汽車駕駛人有酒精濃度超過規定標準、吸食毒品、迷幻藥等情形，而不予禁止駕駛者，依道路交通管理處罰條例之規定，除處罰鍰外，將對該汽車採取何種處分？	(1)	吊 扣該汽車牌照6個月	(2)	吊扣該汽車牌照1年	(3)	吊扣該汽車牌照2年	
35	3	汽車駕駛人酒後駕車經抽血檢測，血液中酒精濃度超過0.05%，依照道路交通管理處罰條例下列何者為錯誤？	(1)	同車年滿18歲乘客應受罰鍰。	(2)	同車年逾70歲或公車乘客不必受 罰。	(3)	只有汽車駕駛人受罰。	
36	2	裝設車輛點火自動鎖定裝置(酒精鎖)之車輛，駕駛人啟動前須符合何種條件？	(1)	插入鑰匙即可啟動。	(2)	吐氣酒精濃度檢測為0。	(3)	經車主同意。	
37	2	汽車駕駛人行車時，遇前方道路壅塞情況下應？	(1)	緊貼前車，避免後車超車。	(2)	與前車維持適當安全距離，依序前進。	(3)	於車流間蛇行穿梭。	
38	2	汽車駕駛人在道路上蛇行，或以其他危險方式駕車（如惡意逼車），下列處罰何者正確？	(1)	處以罰鍰，並不禁止其駕駛。	(2)	處以罰鍰，因而肇事者，並吊銷其駕駛執照，當場禁止 駕駛。	(3)	處以罰鍰，並吊銷其駕駛執照。	
39	2	汽車駕駛人行經路口，遇有警察指揮與燈號顯示不一致時，應如何行駛？	(1)	以燈號顯示為準。	(2)	聽從警察指揮行駛。	(3)	視當時交通狀況，跟隨前車行駛。	
40	2	汽車駕駛人於行駛道路時，手持香菸、吸食、點燃，有影響他人安全者，下列何者正確？	(1)	個人嗜好不處罰。	(2)	違反道路交通管理處罰條例處新臺幣1,200元罰鍰。	(3)	屬於違反環 保法規問題。	
41	2	關於汽車裝載貨物之規定，下列何者屬於「不當行為」且會受罰？	(1)	裝載貨物綑紮牢固，堆置穩妥。	(2)	裝載貨物超過規定的長度、寬度、高度，或未覆蓋嚴密致散落物掉落路面。	(3)	裝載物品重量未超過核定總重量。	
42	3	汽車駕駛人拒絕接受酒精濃度測試檢定者，應處罰鍰新臺幣多少？	(1)	6萬元。	(2)	9萬元。	(3)	18萬元。	
43	2	關於路側劃設之「紅色實線」（禁止臨時停車線），其禁止臨時停車之時間原則為何？	(1)	僅限於每日上午7時至晚間8時。	(2)	除另有規定外，原則上為全天24小時。	(3)	僅限於夜間 時段以維護交通安全。	
44	3	駕駛人酒精濃度超過規定標準，駕車肇事致人重傷或死亡者，其處分為何？	(1)	吊銷駕駛執照，1年內不得考領。	(2)	吊銷駕駛執照，2年內不得考領。	(3)	吊銷駕駛執照，終身不得再考 領。	
45	3	汽車行駛下長坡時，正確的駕駛方式為何？	(1)	儘量使用腳煞車控制速度。	(2)	完全不使用任何煞車，讓車輛自然滑行。	(3)	善用低速檔引擎煞車，避免過度使用腳煞車。	
46	2	下列哪一項敘述是錯誤的？	(1)	設有禁止停車之標誌路段，可以臨時停車。	(2)	設有禁止停車之標誌路段，不可以臨時停車。	(3)	設有禁止停車之標線路段，如無其他標誌、標線規定，夜 間8時以後至隔日清晨7時以前可以停車、臨時停車。	
47	3	汽車駕駛人於10年內第2次違反酒駕規定，其罰鍰金額為新臺幣？	(1)	6萬元。	(2)	9萬元。	(3)	12萬元。	
48	2	汽車駕駛人連續駕車超過8小時，如應歸責於汽車所有人者，應受到何種處分？	(1)	吊銷汽車牌照。	(2)	吊扣汽車牌照3個月。	(3)	罰鍰3萬元。	
49	2	在設有禁止停車標誌、標線(黃實線)的路段，停車規定為何？	(1)	禁止臨時停車。	(2)	可以臨時停車。	(3)	可以停車。	
50	1	小型車在設有彎道、狹路、坡路、單行道標誌之路段，因讓車、停車或起駛有必要者，是否可以倒車？	(1)	可以。	(2)	不可以。	(3)	須有人在車後指引才可以。	
51	1	汽車駕駛人將駕照借供他人駕車者，應處罰：	(1)	吊扣其駕照。	(2)	吊銷其駕照。	(3)	吊扣其車輛牌照。	
52	3	汽車駕駛人在1年內違規記點每達12點者，除施以道安講習，並處：	(1)	吊銷駕照。	(2)	罰鍰。	(3)	吊扣駕照。	
53	3	汽車駕駛人酒精濃度超過規定標準者，處新臺幣多少元罰鍰？	(1)	1,200元~2,400元。	(2)	6,000元~1萬2,000元。	(3)	3萬元~12萬元。	
54	2	在設有彎道、坡路、狹路、狹橋、隧道標誌之路段或鐵路平交道可否迴車？	(1)	可以。	(2)	不可以。	(3)	無特別規定。	
55	3	職業汽車駕駛人之職業駕駛執照因逾期審驗被註銷時，關於其申請與駕駛規定，下列何者正 確？	(1)	得憑該已註銷之職業駕駛執照申請換發同等車類之普通駕駛執照，且在未換發前仍可駕駛汽車。	(2)	不得申請換發普通駕駛執照，須重新考照後方可駕駛。	(3)	得申請換發同等 車類之普通駕駛執照，但在未換發前不得駕駛汽車。	
56	2	汽車駕駛人行駛道路下列何者為對？	(1)	遇有急事要聯絡，可以使用行動電話。	(2)	以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全 之行為，均為禁止之行為。	(3)	只要不妨礙他人安寧都可以使用撥接通話 	
57	3	關於汽車載人規定，下列何者正確？	(1)	車廂外可視情況載人。	(2)	只要車速低即可於車外載人。	(3)	汽車車廂以外不得載人。	
58	1	小型汽車在同向二車道以上道路行駛時，下列何者敘述正確？	(1)	內外側車道均可行駛。	(2)	行駛速度較慢時，應靠內側車道行駛。	(3)	可任意變換車道。	
59	2	IMAGEIMAGEIMAGEp005_img01_xref27__DOT__png 此標誌所代表之意義？	(1)	禁止汽車進入。	(2)	禁止空計程車進入。	(3)	禁止任何車輛進入。	
60	1	IMAGEIMAGEIMAGEp005_img02_xref29__DOT__png 此標誌所代表之意義？	(1)	禁止任何車輛進入。	(2)	單行道。	(3)	減速慢行。	
61	2	汽車行駛時，駕駛人對於視線範圍內顯示設備之使用，下列何者正確？	(1)	行車時可使用車內影音設備，只要關閉聲音即可。	(2)	娛樂性顯示設備應關閉，但導航或倒車影像等行車輔助 顯示可使用。	(3)	所有顯示設備均不得開啟，以免影響駕駛注意力。	
62	2	汽車駕駛人吸食毒品、迷幻藥、麻醉藥品或酒類後駕駛汽車，下列何者錯誤？	(1)	若因而肇事致人死亡者，處罰鍰並當場移置保管車輛、吊銷駕駛執照，終身不得再考領。	(2)	僅處罰 鍰。	(3)	處罰鍰並當場移置保管車輛、吊扣駕照。	
63	1	駕駛人將車輛駛入加油站準備加油，下列做法何者正確？	(1)	熄火並關閉電氣設備，加油全程不使用行動電話，加油完畢後再啟動引擎駛離。	(2)	加油時間短暫，可維持引擎怠速運轉並開啟空調，待加油完畢再出發。	(3)	加油過程中為節省時間，可在車內使用打火機點菸或檢查行李廂內物品。	
64	2	駕駛人行車中發現後座孩童將手伸出車窗外，下列做法何者正確？	(1)	車速不快且路旁無來車時，短暫伸出並無大礙，提醒孩童注意即可。	(2)	行駛中乘客不得將頭手伸出車外，駕駛人應立即制止並關閉車窗或開啟車窗安全鎖。	(3)	乘客自身行為由乘客負責，駕駛人專心駕駛不宜分心處理。	
65	2	汽車行駛於道路時，駕駛人：	(1)	可以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為。	(2)	不可以手持方式使用行動電話、電腦 或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為。	(3)	路況良好 時可以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他 有礙駕駛安全之行為。	
66	3	在行車途中，精神疲勞稍有睡意，你應該怎麼辦：	(1)	提起精神，並減速慢行。	(2)	擦抹或服食藥物助長精神，照常行駛。	(3)	在最近適當路邊停車，下車稍作休息，恢復精神再開車。	
67	2	行駛市區道路時，後方有消防車鳴笛駛近，而駕駛人恰好與消防車同方向同路線，下列做法何者正確？	(1)	跟隨消防車行駛可通過壅塞路段，只要保持安全距離即可。	(2)	應靠右讓路待消防車通過後，依正常速限行駛，不得尾隨急駛。	(3)	消防車通過後路面已無障礙，應加速跟上以儘快通過該路段避免回堵。	
68	1	駕駛人赴宴飲酒後，自覺僅喝了一點且頭腦清醒，同行友人亦表示看不出異狀，下列觀念何 者正確？	(1)	飲酒後即使自覺清醒，酒精仍會影響反應與判斷能力，應改搭計程車或代駕。	(2)	經同行友人觀察確認並無異狀，且自覺意識清楚，可自行駕車返家。	(3)	先在車內休息30分鐘待酒精消退後，即可安全駕車上路。	
69	2	依道路交通安全規則規定，下列何者不得參加汽車駕駛執照考驗？	(1)	已戒除酒癮並取得醫師證明、體檢合格者。	(2)	酒精、麻醉藥品、鴉片類或其代用品成癮者。	(3)	曾因酒後駕車被吊銷駕照，禁考期間已屆滿者。	
70	2	汽機車駕駛人酒後駕車，其吐氣酒精濃度超過規定標準但未涉刑事處罰者，應處：	(1)	移送法院依刑法判刑。	(2)	罰鍰並當場移置保管該汽車及吊扣其駕駛執照1至2年、吊扣牌照2 年。	(3)	吊銷駕駛執照。	
71	3	汽車駕駛人，行車速度超過規定之最高時速40公里以上者，處罰鍰新臺幣：	(1)	1,200～2,400元。	(2)	2,400～6,000元。	(3)	6,000～ 36,000元。	
72	1	酒醉駕車或行經行人穿越道不讓行人優先通行因而致人傷亡，如應負刑責者：	(1)	加重其刑至二分之一。	(2)	不須處罰。	(3)	仍按原來刑度處罰。	
73	1	汽車駕駛人於行駛道路時，以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為者，處罰鍰新臺幣：	(1)	3,000元。	(2)	2,000元。	(3)	1,000元。	
74	1	駕車酒精濃度超過規定標準，除當場移置保管該汽機車及吊扣其駕駛 執照1至2年，並處罰 鍰新臺幣：	(1)	機車15,000 ~90,000元、汽車30,000~120,000元。	(2)	機車10,000~90,000元、汽車 30,000 元~90,000元。	(3)	機車6,000 ~ 12,000元、汽車 30,000 元~90,000 元。	
75	2	酒精濃度超過規定標準駕車之違規人，於10年內第2次違反酒後駕車之規定，除處罰鍰新臺幣120,000元，及當場移置保管該汽車，並應施以道路交通安全講習：	(1)	吊扣其牌照。	(2)	吊銷其駕駛執照。	(3)	吊扣其駕駛執照。	
76	3	兩輛以上之汽車在道路上競駛或競技者，除處罰汽車駕駛人新台幣 30,000~90,000元罰鍰，及當場禁止其駕駛，並應：	(1)	吊扣其駕駛執照。	(2)	吊銷其牌照。	(3)	吊銷其駕駛執照，並吊 扣汽車牌照6個月。	
77	1	汽車駕駛人若拒絕接受酒精濃度測試檢定者，除處罰鍰新臺幣 180,000元，並應施以道路交通安全講習：	(1)	吊銷其駕駛執照。	(2)	吊扣其駕駛執照。	(3)	吊扣其牌照。	
78	3	汽車所有人，明知駕駛人有酒後駕車之情形，而不予禁止者，除處罰鍰外，並應：	(1)	吊銷該汽車牌照。	(2)	吊扣其駕照。	(3)	吊扣該汽車牌照。	
79	2	汽車駕駛人無照駕駛或酒醉駕車因而致人受傷或死亡，依法應負刑事責任者，加重其刑至：	(1)	三分之一。	(2)	二分之一。	(3)	一倍。	
80	3	汽機車駕駛人，駕駛汽機車經酒精濃度測試檢定超過標準值，除罰鍰、 當場移置保管該汽機車外，並吊扣其駕駛執照：	(1)	3個月。	(2)	6個月。	(3)	1至2年。	
81	3	汽車駕駛人於道路上蛇行駕駛，應處以：	(1)	罰鍰。	(2)	講習。	(3)	罰鍰及吊扣牌照6個月並應接受道路交通安全講習。	
82	2	酒後駕車酒精濃度超過規定標準被當場移置保管車輛，其罰鍰：	(1)	可以易處吊扣駕照。	(2)	不可以易處吊扣駕照。	(3)	沒規定。	
83	1	在高速或快速公路行車：	(1)	不得超速競駛，不得低速併行。	(2)	可以超速競駛，但不得低速併行。	(3)	不得超速競駛，卻可以低速併行。	
84	3	酒後開車，對駕駛人會產生「視覺之隧道效應」，駕駛者猶如在隧道中行車，前有亮光但四周漆黑，故酒後駕車：	(1)	視野不變。	(2)	視野變廣。	(3)	視野變窄。	
85	1	汽車駕駛人駕駛汽車經測試檢定，其吐氣所含酒精濃度不得達每公升：	(1)	0.15毫克。	(2)	0.25毫克。	(3)	0.55毫克。	
86	3	小客車附載幼童未依規定安置於安全椅者，應處駕駛人：	(1)	吊扣駕駛執照。	(2)	吊銷駕駛執照。	(3)	罰鍰。	
87	2	汽車駕駛人對於6歲以下或需要特別看護之兒童，單獨留置車內者，處駕駛人：	(1)	罰鍰。	(2)	罰鍰並施以4小時道路交通安全講習。	(3)	罰鍰並予違規記點。	
88	3	汽車駕駛人對幾歲以下或需要特別看護之兒童，單獨留置於車內者，處駕駛人新臺幣3,000元罰鍰，並施以4小時道路交通安全講習：	(1)	4歲。	(2)	5歲。	(3)	6歲。	
89	1	汽車駕駛人行車速度，超過規定之最高時速多少公里以上者，處新臺幣6,000～36,000元罰鍰，並當場禁止其駕駛：	(1)	40公里。	(2)	50公里。	(3)	60公里。	
90	3	汽車駕駛人駕駛營業大客車，因酒後駕駛應吊銷其駕駛執照，並：	(1)	2年內不得考領。	(2)	3年內不得考 領。	(3)	4年內不得考領。	
91	3	駕車於上坡路段使用二檔時，下坡應使用：	(1)	四檔。	(2)	三檔。	(3)	二檔。	
92	3	汽車下長坡時，最安全控制速度的方法，是使用：	(1)	腳煞車。	(2)	手煞車。	(3)	低速檔適時配合引擎煞車。	
93	1	下列敍述何者正確：	(1)	駕駛人、前座及小型車後座乘客均應繫妥安全帶。	(2)	起駛後才應顯示方向燈。	(3)	兒童須乘坐於小客車之前座。	
94	1	禁止停車路段，其禁止時間為每日之：	(1)	上午7時至晚間8時。	(2)	下午7時至上午8時。	(3)	全天24小時。	如有延長或縮短之必要時，應以標誌及附牌標示之。
95	3	禁止臨時停車路段，其禁止時間為每日之：	(1)	上午7時至晚間8 時。	(2)	下午7時至上午8時。	(3)	全天24小時。	如有縮短之必要時，應以標誌及附牌標示之。
96	3	禁止臨時停車路段：	(1)	禁止臨時停車，但可以停車。	(2)	禁止停車，但可以臨時停車。	(3)	不得臨時停車也不得停車。	
97	2	禁止停車路段：	(1)	禁止臨時停車，但可以停車。	(2)	禁止停車，但可以臨時停車。	(3)	不得停車也不得臨時停車。	
98	3	汽車可停車路段，若無停車位時:	(1)	可以併排停車。	(2)	可任意併排停車。	(3)	不得併排停車。	
99	1	汽車行駛至設有禁止迴車標誌、禁止左轉標誌，劃有分向限制線、禁止超車線或禁止變換車道線之路段：	(1)	不得迴車。	(2)	可以倒車。	(3)	無來車時可迴車。	
100	3	汽車駕駛人拆除消音器造成噪音，處罰鍰丶當場禁止其行駛丶吊扣汽車牌照6個月，於1年內再犯者，處：	(1)	吊銷駕照。	(2)	吊扣駕照 1個月。	(3)	吊扣駕照6個月。	
101	3	IMAGEIMAGEIMAGEp008_img01_xref37__DOT__png	(1)	禁止汽車進入。	(2)	無柵門鐵路平交道。	(3)	有柵門鐵路平交道。	
102	2	IMAGEIMAGEIMAGEp008_img02_xref38__DOT__png	(1)	狹路。	(2)	隧道。	(3)	狹橋。	
103	2	IMAGEIMAGEIMAGEp008_img03_xref40__DOT__png	(1)	險降坡。	(2)	碼頭、堤岸。	(3)	路滑。	
104	1	IMAGEIMAGEIMAGEp008_img04_xref42__DOT__png	(1)	靠右行駛。	(2)	單行道。	(3)	可以右轉。	
105	2	IMAGEIMAGEIMAGEp008_img05_xref43__DOT__png	(1)	禁止停車。	(2)	停車檢查。	(3)	禁止汽車進入。	
106	3	IMAGEIMAGEIMAGEp008_img06_xref45__DOT__png	(1)	禁止行人通行。	(2)	停車再開。	(3)	禁止任何車輛進入。	
107	3	IMAGEIMAGEIMAGEp009_img01_xref49__DOT__png	(1)	禁止行人通行。	(2)	禁止任何車輛進入。	(3)	禁止四輪以上汽車進 入。	
108	2	IMAGEIMAGEIMAGEp009_img02_xref51__DOT__png	(1)	禁止任何車輛進入。	(2)	禁止聯結車進入。	(3)	禁止大貨車及聯結 車進入。	
109	1	IMAGEIMAGEIMAGEp009_img03_xref53__DOT__png	(1)	禁止大型重型機車以外之 機車進入。	(2)	禁止四輪以上汽車進入。	(3)	禁止任何機車進入。	
110	2	IMAGEIMAGEIMAGEp009_img04_xref55__DOT__png	(1)	單線電化鐵路平交道。	(2)	雙線以上電化鐵路平交道。	(3)	單線鐵 路平交道。	
111	1	IMAGEIMAGEIMAGEp009_img05_xref57__DOT__png	(1)	省道路線編號。	(2)	縣道路線編號。	(3)	國道路線編號。	
112	3	IMAGEIMAGEIMAGEp009_img06_xref59__DOT__png	(1)	救護站。	(2)	加油站。	(3)	修理站。	
113	2	IMAGEIMAGEIMAGEp009_img07_xref61__DOT__png	(1)	人行天橋。	(2)	人行地下道。	(3)	停車處。	
114	3	IMAGEIMAGEIMAGEp009_img08_xref63__DOT__png 道路指定	(1)	汽車專行。	(2)	大客車專行。	(3)	自行車及大型重型機車 以外之機車專行。	
115	1	IMAGEIMAGEIMAGEp009_img09_xref64__DOT__png 圖中白色倒三角型標線是：	(1)	讓路線。	(2)	停止線。	(3)	路中障礙物 體線。	
116	3	IMAGEIMAGEIMAGEp009_img10_xref66__DOT__png	(1)	停車線。	(2)	近障礙物線。	(3)	車輛停放線。	
117	1	IMAGEIMAGEIMAGEp009_img11_xref67__DOT__png 圖中箭頭所指白色實線為：	(1)	路面邊線。	(2)	車道線。	(3)	雙方禁止 超車線。	
118	3	IMAGEIMAGEIMAGEp010_img01_xref71__DOT__png	(1)	近障礙物線。	(2)	近鐵路平交道線。	(3)	路寬變更線。	
119	2	IMAGEIMAGEIMAGEp010_img02_xref73__DOT__png 圖中白色虛線為：	(1)	斑馬紋行人穿越道線。	(2)	車道線。	(3)	路面邊 線。	
120	1	IMAGEIMAGEIMAGEp010_img03_xref75__DOT__png	(1)	近鐵路平交道線。	(2)	近障礙物線。	(3)	路寬變更線。	
121	3	IMAGEIMAGEIMAGEp010_img04_xref77__DOT__png	(1)	禁止停車線。	(2)	行車分向線。	(3)	指向線。	
122	2	IMAGEIMAGEIMAGEp010_img05_xref78__DOT__png 圖中黃色雙實線為：	(1)	單向禁止超車線。	(2)	雙向禁止超車線。	(3)	車道線。	
123	1	IMAGEIMAGEIMAGEp010_img06_xref80__DOT__png 圖中黃色單實線與黃色虛線併列部分為：	(1)	單向禁止超車線。	(2)	雙向 禁止超車線。	(3)	車道線。	
124	3	IMAGEIMAGEIMAGEp010_img07_xref81__DOT__png 圖中白色雙實線為：	(1)	分向限制線。	(2)	雙向禁止超車線。	(3)	禁止 變換車道線。	
125	1	IMAGEIMAGEIMAGEp010_img08_xref82__DOT__png 圖中黃色實線為：	(1)	禁止停車線。	(2)	禁止臨時停車線。	(3)	車輛停 放線。	
126	2	IMAGEIMAGEIMAGEp010_img09_xref84__DOT__png 圖中紅色實線為：	(1)	禁止停車線。	(2)	禁止臨時停車線。	(3)	車輛停 放線。	
127	3	IMAGEIMAGEIMAGEp010_img10_xref86__DOT__png 圖中黃色虛線為：	(1)	車道線。	(2)	分向限制線。	(3)	行車分向線。	
128	1	IMAGEIMAGEIMAGEp010_img10_xref869999__DOT__png 圖中最外側的路面邊線與車道線中間的白色實線為何種標線？	(1)	快慢車道 分隔線。	(2)	行車分向線。	(3)	雙方禁止超車線。	
